web-scraper-order,web-scraper-start-url,pokemon_normaux,pokemon_normaux-href,id_pokemon,nom_pokemon,taille,poids,Points de vie de base,Attaque de base,Défense de base,Attaque spéciale de base,Défense spéciale de base,Vitesse de base,Type_pokemon1-src
"1530534581-1291","https://ivpokemon.fr/liste-pokemon","Statitik","https://ivpokemon.fr/infos-pokemon?id=595","#595","Statitik","0.1 m","0.6 kg","50","47","50","57","50","65","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535812-2042","https://ivpokemon.fr/liste-pokemon","Magnéton","https://ivpokemon.fr/infos-pokemon?id=82","#82","Magnéton","1 m","60 kg","50","60","95","120","70","70","https://ivpokemon.fr/ressources/images/types/13.png"
"1530535750-2001","https://ivpokemon.fr/liste-pokemon","Rhinocorne","https://ivpokemon.fr/infos-pokemon?id=111","#111","Rhinocorne","1 m","115 kg","80","85","95","30","30","25","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534980-1554","https://ivpokemon.fr/liste-pokemon","Papilord","https://ivpokemon.fr/infos-pokemon?id=414","#414","Papilord","0.9 m","23.3 kg","70","94","50","94","50","66","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534655-1330","https://ivpokemon.fr/liste-pokemon","Aéroptéryx","https://ivpokemon.fr/infos-pokemon?id=567","#567","Aéroptéryx","1.4 m","32 kg","75","140","65","112","65","110","https://ivpokemon.fr/ressources/images/types/6.png"
"1530535178-1691","https://ivpokemon.fr/liste-pokemon","Wailord","https://ivpokemon.fr/infos-pokemon?id=321","#321","Wailord","14.5 m","398 kg","170","90","45","90","45","60","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535155-1675","https://ivpokemon.fr/liste-pokemon","Cacturne","https://ivpokemon.fr/infos-pokemon?id=332","#332","Cacturne","1.3 m","77.4 kg","70","115","60","115","60","55","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535985-2121","https://ivpokemon.fr/liste-pokemon","Sablaireau","https://ivpokemon.fr/infos-pokemon?id=28","#28","Sablaireau","1 m","29.5 kg","75","100","110","45","55","65","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534496-1233","https://ivpokemon.fr/liste-pokemon","Trioxhydre","https://ivpokemon.fr/infos-pokemon?id=635","#635","Trioxhydre","1.8 m","160 kg","92","105","90","125","90","98","https://ivpokemon.fr/ressources/images/types/16.png"
"1530535714-1979","https://ivpokemon.fr/liste-pokemon","Tauros","https://ivpokemon.fr/infos-pokemon?id=128","#128","Tauros","1.4 m","88.4 kg","75","100","95","40","70","110","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535959-2105","https://ivpokemon.fr/liste-pokemon","Grodoudou","https://ivpokemon.fr/infos-pokemon?id=40","#40","Grodoudou","1 m","12 kg","140","70","45","85","50","45","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534825-1442","https://ivpokemon.fr/liste-pokemon","Giratina","https://ivpokemon.fr/infos-pokemon?id=487","#487","Giratina","4.5 m","750 kg","150","100","120","100","120","90","https://ivpokemon.fr/ressources/images/types/16.png"
"1530534179-994","https://ivpokemon.fr/liste-pokemon","Écaïd","https://ivpokemon.fr/infos-pokemon?id=783","#783","Écaïd","1.2 m","47 kg","55","75","90","65","70","65","https://ivpokemon.fr/ressources/images/types/2.png"
"1530535827-2054","https://ivpokemon.fr/liste-pokemon","Gravalanch","https://ivpokemon.fr/infos-pokemon?id=75","#75","Gravalanch","1 m","105 kg","55","95","115","45","45","35","https://ivpokemon.fr/ressources/images/types/6.png"
"1530535851-2072","https://ivpokemon.fr/liste-pokemon","Kadabra","https://ivpokemon.fr/infos-pokemon?id=64","#64","Kadabra","1.3 m","56.5 kg","40","35","30","120","70","105","https://ivpokemon.fr/ressources/images/types/14.png"
"1530534469-1207","https://ivpokemon.fr/liste-pokemon","Meloetta","https://ivpokemon.fr/infos-pokemon?id=648","#648","Meloetta","0.6 m","6.5 kg","100","77","77","128","128","90","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534953-1535","https://ivpokemon.fr/liste-pokemon","Laporeille","https://ivpokemon.fr/infos-pokemon?id=427","#427","Laporeille","0.4 m","5.5 kg","55","66","44","44","56","85","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535417-1816","https://ivpokemon.fr/liste-pokemon","Lippouti","https://ivpokemon.fr/infos-pokemon?id=238","#238","Lippouti","0.4 m","6 kg","45","30","15","85","65","65","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535288-1723","https://ivpokemon.fr/liste-pokemon","Tarinor","https://ivpokemon.fr/infos-pokemon?id=299","#299","Tarinor","1 m","97 kg","30","45","135","45","90","30","https://ivpokemon.fr/ressources/images/types/6.png"
"1530536069-2134","https://ivpokemon.fr/liste-pokemon","Roucarnage","https://ivpokemon.fr/infos-pokemon?id=18","#18","Roucarnage","1.5 m","39.5 kg","83","80","75","70","70","101","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535208-1710","https://ivpokemon.fr/liste-pokemon","Méditikka","https://ivpokemon.fr/infos-pokemon?id=307","#307","Méditikka","0.6 m","11.2 kg","30","40","55","40","55","60","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535791-2027","https://ivpokemon.fr/liste-pokemon","Fantominus","https://ivpokemon.fr/infos-pokemon?id=92","#92","Fantominus","1.3 m","0.1 kg","30","35","30","100","35","80","https://ivpokemon.fr/ressources/images/types/4.png"
"1530534430-1180","https://ivpokemon.fr/liste-pokemon","Prismillon","https://ivpokemon.fr/infos-pokemon?id=666","#666","Prismillon","1.2 m","17 kg","80","52","50","90","50","89","https://ivpokemon.fr/ressources/images/types/7.png"
"1530534603-1309","https://ivpokemon.fr/liste-pokemon","Vivaldaim","https://ivpokemon.fr/infos-pokemon?id=585","#585","Vivaldaim","0.6 m","19.5 kg","60","60","50","40","50","75","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535000-1568","https://ivpokemon.fr/liste-pokemon","Luxray","https://ivpokemon.fr/infos-pokemon?id=405","#405","Luxray","1.4 m","42 kg","80","120","79","95","79","70","https://ivpokemon.fr/ressources/images/types/13.png"
"1530535286-1722","https://ivpokemon.fr/liste-pokemon","Skitty","https://ivpokemon.fr/infos-pokemon?id=300","#300","Skitty","0.6 m","11 kg","50","45","45","35","35","50","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534887-1488","https://ivpokemon.fr/liste-pokemon","Babimanta","https://ivpokemon.fr/infos-pokemon?id=458","#458","Babimanta","1 m","65 kg","45","20","50","60","120","50","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534923-1515","https://ivpokemon.fr/liste-pokemon","Pijako","https://ivpokemon.fr/infos-pokemon?id=441","#441","Pijako","0.5 m","1.9 kg","76","65","45","92","42","91","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534676-1349","https://ivpokemon.fr/liste-pokemon","Crabicoque","https://ivpokemon.fr/infos-pokemon?id=557","#557","Crabicoque","0.3 m","14.5 kg","50","65","85","35","35","55","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534936-1524","https://ivpokemon.fr/liste-pokemon","Mouflair","https://ivpokemon.fr/infos-pokemon?id=435","#435","Mouflair","1 m","38 kg","103","93","67","71","61","84","https://ivpokemon.fr/ressources/images/types/4.png"
"1530534509-1243","https://ivpokemon.fr/liste-pokemon","Vostourno","https://ivpokemon.fr/infos-pokemon?id=629","#629","Vostourno","0.5 m","9 kg","70","55","75","45","65","60","https://ivpokemon.fr/ressources/images/types/17.png"
"1530534366-1136","https://ivpokemon.fr/liste-pokemon","Ptyranidur","https://ivpokemon.fr/infos-pokemon?id=696","#696","Ptyranidur","0.8 m","26 kg","58","89","77","45","45","48","https://ivpokemon.fr/ressources/images/types/16.png"
"1530534166-982","https://ivpokemon.fr/liste-pokemon","Cosmog","https://ivpokemon.fr/infos-pokemon?id=789","#789","Cosmog","0.2 m","0.1 kg","43","29","31","29","31","37","https://ivpokemon.fr/ressources/images/types/14.png"
"1530534904-1500","https://ivpokemon.fr/liste-pokemon","Hippodocus","https://ivpokemon.fr/infos-pokemon?id=450","#450","Hippodocus","2 m","300 kg","108","112","118","68","72","47","https://ivpokemon.fr/ressources/images/types/5.png"
"1530535371-1783","https://ivpokemon.fr/liste-pokemon","Laggron","https://ivpokemon.fr/infos-pokemon?id=260","#260","Laggron","1.5 m","81.9 kg","100","110","90","85","90","60","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535983-2120","https://ivpokemon.fr/liste-pokemon","Nidoran ♀","https://ivpokemon.fr/infos-pokemon?id=29","#29","Nidoran ♀","0.4 m","7 kg","55","47","52","40","40","41","https://ivpokemon.fr/ressources/images/types/4.png"
"1530535063-1611","https://ivpokemon.fr/liste-pokemon","Métang","https://ivpokemon.fr/infos-pokemon?id=375","#375","Métang","1.2 m","202.5 kg","60","75","100","55","80","50","https://ivpokemon.fr/ressources/images/types/9.png"
"1530535377-1788","https://ivpokemon.fr/liste-pokemon","Braségali","https://ivpokemon.fr/infos-pokemon?id=257","#257","Braségali","1.9 m","52 kg","80","120","70","110","70","80","https://ivpokemon.fr/ressources/images/types/10.png"
"1530535638-1931","https://ivpokemon.fr/liste-pokemon","Noarfang","https://ivpokemon.fr/infos-pokemon?id=164","#164","Noarfang","1.6 m","40.8 kg","100","50","50","76","96","70","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535604-1903","https://ivpokemon.fr/liste-pokemon","Lainergie","https://ivpokemon.fr/infos-pokemon?id=180","#180","Lainergie","0.8 m","13.3 kg","70","55","55","80","60","45","https://ivpokemon.fr/ressources/images/types/13.png"
"1530534832-1446","https://ivpokemon.fr/liste-pokemon","Palkia","https://ivpokemon.fr/infos-pokemon?id=484","#484","Palkia","4.2 m","336 kg","90","120","100","150","120","100","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534863-1470","https://ivpokemon.fr/liste-pokemon","Yanmega","https://ivpokemon.fr/infos-pokemon?id=469","#469","Yanmega","1.9 m","51.5 kg","86","76","86","116","56","95","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535496-1872","https://ivpokemon.fr/liste-pokemon","Zarbi","https://ivpokemon.fr/infos-pokemon?id=201","#201","Zarbi","0.5 m","5 kg","48","72","48","72","48","48","https://ivpokemon.fr/ressources/images/types/14.png"
"1530534311-1091","https://ivpokemon.fr/liste-pokemon","Brindibou","https://ivpokemon.fr/infos-pokemon?id=722","#722","Brindibou","0.3 m","1.5 kg","68","55","55","50","50","42","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534486-1223","https://ivpokemon.fr/liste-pokemon","Viridium","https://ivpokemon.fr/infos-pokemon?id=640","#640","Viridium","2 m","200 kg","91","90","72","90","129","108","https://ivpokemon.fr/ressources/images/types/2.png"
"1530534505-1240","https://ivpokemon.fr/liste-pokemon","Aflamanoir","https://ivpokemon.fr/infos-pokemon?id=631","#631","Aflamanoir","1.4 m","58 kg","85","97","66","105","66","65","https://ivpokemon.fr/ressources/images/types/10.png"
"1530535386-1794","https://ivpokemon.fr/liste-pokemon","Massko","https://ivpokemon.fr/infos-pokemon?id=253","#253","Massko","0.9 m","21.6 kg","50","65","45","85","65","95","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535772-2014","https://ivpokemon.fr/liste-pokemon","Électrode","https://ivpokemon.fr/infos-pokemon?id=101","#101","Électrode","1.2 m","66.6 kg","60","50","70","80","80","140","https://ivpokemon.fr/ressources/images/types/13.png"
"1530534550-1270","https://ivpokemon.fr/liste-pokemon","Coupenotte","https://ivpokemon.fr/infos-pokemon?id=610","#610","Coupenotte","0.6 m","18 kg","46","87","60","30","40","57","https://ivpokemon.fr/ressources/images/types/16.png"
"1530535802-2034","https://ivpokemon.fr/liste-pokemon","Lamantine","https://ivpokemon.fr/infos-pokemon?id=87","#87","Lamantine","1.7 m","120 kg","90","70","80","70","95","70","https://ivpokemon.fr/ressources/images/types/15.png"
"1530534317-1097","https://ivpokemon.fr/liste-pokemon","Diancie","https://ivpokemon.fr/infos-pokemon?id=719","#719","Diancie","0.7 m","8.8 kg","50","100","150","100","150","50","https://ivpokemon.fr/ressources/images/types/18.png"
"1530534411-1168","https://ivpokemon.fr/liste-pokemon","Pandarbare","https://ivpokemon.fr/infos-pokemon?id=675","#675","Pandarbare","2.1 m","136 kg","95","124","78","69","71","58","https://ivpokemon.fr/ressources/images/types/2.png"
"1530535146-1669","https://ivpokemon.fr/liste-pokemon","Séviper","https://ivpokemon.fr/infos-pokemon?id=336","#336","Séviper","2.7 m","52.5 kg","73","100","60","100","60","65","https://ivpokemon.fr/ressources/images/types/4.png"
"1530534532-1261","https://ivpokemon.fr/liste-pokemon","Limonde","https://ivpokemon.fr/infos-pokemon?id=618","#618","Limonde","0.7 m","11 kg","109","66","84","81","99","32","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534401-1161","https://ivpokemon.fr/liste-pokemon","Dimoclès","https://ivpokemon.fr/infos-pokemon?id=680","#680","Dimoclès","0.8 m","4.5 kg","59","110","150","45","49","35","https://ivpokemon.fr/ressources/images/types/9.png"
"1530534496-1232","https://ivpokemon.fr/liste-pokemon","Trioxhydre","https://ivpokemon.fr/infos-pokemon?id=635","#635","Trioxhydre","1.8 m","160 kg","92","105","90","125","90","98","https://ivpokemon.fr/ressources/images/types/17.png"
"1530535204-1706","https://ivpokemon.fr/liste-pokemon","Dynavolt","https://ivpokemon.fr/infos-pokemon?id=309","#309","Dynavolt","0.6 m","15.2 kg","40","45","40","65","40","65","https://ivpokemon.fr/ressources/images/types/13.png"
"1530535597-1899","https://ivpokemon.fr/liste-pokemon","Marill","https://ivpokemon.fr/infos-pokemon?id=183","#183","Marill","0.4 m","8.5 kg","70","20","50","20","50","40","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535212-1713","https://ivpokemon.fr/liste-pokemon","Galegon","https://ivpokemon.fr/infos-pokemon?id=305","#305","Galegon","0.9 m","120 kg","60","90","140","50","50","40","https://ivpokemon.fr/ressources/images/types/9.png"
"1530535691-1964","https://ivpokemon.fr/liste-pokemon","Amonistar","https://ivpokemon.fr/infos-pokemon?id=139","#139","Amonistar","1 m","35 kg","70","60","125","115","70","55","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534804-1430","https://ivpokemon.fr/liste-pokemon","Majaspic","https://ivpokemon.fr/infos-pokemon?id=497","#497","Majaspic","3.3 m","63 kg","75","75","95","75","95","113","https://ivpokemon.fr/ressources/images/types/12.png"
"1530536071-2135","https://ivpokemon.fr/liste-pokemon","Roucoups","https://ivpokemon.fr/infos-pokemon?id=17","#17","Roucoups","1.1 m","30 kg","63","60","55","50","50","71","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534520-1253","https://ivpokemon.fr/liste-pokemon","Scalpion","https://ivpokemon.fr/infos-pokemon?id=624","#624","Scalpion","0.5 m","10.2 kg","45","85","70","40","40","60","https://ivpokemon.fr/ressources/images/types/9.png"
"1530535017-1579","https://ivpokemon.fr/liste-pokemon","Étourvol","https://ivpokemon.fr/infos-pokemon?id=397","#397","Étourvol","0.6 m","15.5 kg","55","75","50","40","40","80","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534437-1184","https://ivpokemon.fr/liste-pokemon","Flambusard","https://ivpokemon.fr/infos-pokemon?id=663","#663","Flambusard","1.2 m","24.5 kg","78","81","71","74","69","126","https://ivpokemon.fr/ressources/images/types/10.png"
"1530534315-1094","https://ivpokemon.fr/liste-pokemon","Hoopa","https://ivpokemon.fr/infos-pokemon?id=720","#720","Hoopa","0.5 m","9 kg","80","110","60","150","130","70","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535352-1772","https://ivpokemon.fr/liste-pokemon","Papinox","https://ivpokemon.fr/infos-pokemon?id=269","#269","Papinox","1.2 m","31.6 kg","60","50","70","50","90","65","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535989-2123","https://ivpokemon.fr/liste-pokemon","Raichu","https://ivpokemon.fr/infos-pokemon?id=26","#26","Raichu","0.8 m","30 kg","60","90","55","90","80","110","https://ivpokemon.fr/ressources/images/types/13.png"
"1530535466-1849","https://ivpokemon.fr/liste-pokemon","Farfuret","https://ivpokemon.fr/infos-pokemon?id=215","#215","Farfuret","0.9 m","28 kg","55","95","55","35","75","115","https://ivpokemon.fr/ressources/images/types/17.png"
"1530534481-1219","https://ivpokemon.fr/liste-pokemon","Fulguris","https://ivpokemon.fr/infos-pokemon?id=642","#642","Fulguris","1.5 m","61 kg","79","115","70","125","80","111","https://ivpokemon.fr/ressources/images/types/13.png"
"1530535793-2029","https://ivpokemon.fr/liste-pokemon","Crustabri","https://ivpokemon.fr/infos-pokemon?id=91","#91","Crustabri","1.5 m","132.5 kg","50","95","180","85","45","70","https://ivpokemon.fr/ressources/images/types/15.png"
"1530534272-1062","https://ivpokemon.fr/liste-pokemon","Crabominable","https://ivpokemon.fr/infos-pokemon?id=740","#740","Crabominable","1.7 m","180 kg","97","132","77","62","67","43","https://ivpokemon.fr/ressources/images/types/2.png"
"1530534889-1489","https://ivpokemon.fr/liste-pokemon","Luminéon","https://ivpokemon.fr/infos-pokemon?id=457","#457","Luminéon","1.2 m","24 kg","69","69","76","69","86","91","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534296-1080","https://ivpokemon.fr/liste-pokemon","Oterlette","https://ivpokemon.fr/infos-pokemon?id=729","#729","Oterlette","0.6 m","17.5 kg","60","69","69","71","81","50","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535318-1742","https://ivpokemon.fr/liste-pokemon","Balignon","https://ivpokemon.fr/infos-pokemon?id=285","#285","Balignon","0.4 m","4.5 kg","60","40","60","40","60","35","https://ivpokemon.fr/ressources/images/types/12.png"
"1530534577-1288","https://ivpokemon.fr/liste-pokemon","Grindur","https://ivpokemon.fr/infos-pokemon?id=597","#597","Grindur","0.6 m","18.8 kg","44","50","91","24","86","10","https://ivpokemon.fr/ressources/images/types/9.png"
"1530536169-2161","https://ivpokemon.fr/liste-pokemon","Bulbizarre","https://ivpokemon.fr/infos-pokemon?id=1","#1","Bulbizarre","0.7 m","6.9 kg","45","49","49","65","65","45","https://ivpokemon.fr/ressources/images/types/4.png"
"1530534914-1507","https://ivpokemon.fr/liste-pokemon","Carchacrok","https://ivpokemon.fr/infos-pokemon?id=445","#445","Carchacrok","1.9 m","95 kg","108","130","95","80","85","102","https://ivpokemon.fr/ressources/images/types/5.png"
"1530535940-2087","https://ivpokemon.fr/liste-pokemon","Aéromite","https://ivpokemon.fr/infos-pokemon?id=49","#49","Aéromite","1.5 m","12.5 kg","70","65","60","90","75","90","https://ivpokemon.fr/ressources/images/types/7.png"
"1530534734-1390","https://ivpokemon.fr/liste-pokemon","Minotaupe","https://ivpokemon.fr/infos-pokemon?id=530","#530","Minotaupe","0.7 m","40.4 kg","110","135","60","50","65","88","https://ivpokemon.fr/ressources/images/types/9.png"
"1530535712-1978","https://ivpokemon.fr/liste-pokemon","Magicarpe","https://ivpokemon.fr/infos-pokemon?id=129","#129","Magicarpe","0.9 m","10 kg","20","10","55","15","20","80","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534405-1165","https://ivpokemon.fr/liste-pokemon","Mistigrix","https://ivpokemon.fr/infos-pokemon?id=678","#678","Mistigrix","0.6 m","8.5 kg","74","48","76","83","81","104","https://ivpokemon.fr/ressources/images/types/14.png"
"1530534914-1506","https://ivpokemon.fr/liste-pokemon","Carchacrok","https://ivpokemon.fr/infos-pokemon?id=445","#445","Carchacrok","1.9 m","95 kg","108","130","95","80","85","102","https://ivpokemon.fr/ressources/images/types/16.png"
"1530534401-1162","https://ivpokemon.fr/liste-pokemon","Dimoclès","https://ivpokemon.fr/infos-pokemon?id=680","#680","Dimoclès","0.8 m","4.5 kg","59","110","150","45","49","35","https://ivpokemon.fr/ressources/images/types/8.png"
"1530534522-1255","https://ivpokemon.fr/liste-pokemon","Golemastoc","https://ivpokemon.fr/infos-pokemon?id=623","#623","Golemastoc","2.8 m","330 kg","89","124","80","55","80","55","https://ivpokemon.fr/ressources/images/types/8.png"
"1530534168-983","https://ivpokemon.fr/liste-pokemon","Tokopisco","https://ivpokemon.fr/infos-pokemon?id=788","#788","Tokopisco","1.3 m","21.2 kg","70","75","115","95","130","85","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534970-1546","https://ivpokemon.fr/liste-pokemon","Mustéflott","https://ivpokemon.fr/infos-pokemon?id=419","#419","Mustéflott","1.1 m","33.5 kg","85","105","55","85","50","115","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535587-1892","https://ivpokemon.fr/liste-pokemon","Floravol","https://ivpokemon.fr/infos-pokemon?id=188","#188","Floravol","0.6 m","1 kg","55","45","50","45","65","80","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534556-1275","https://ivpokemon.fr/liste-pokemon","Funécire","https://ivpokemon.fr/infos-pokemon?id=607","#607","Funécire","0.3 m","3.1 kg","50","30","55","65","55","20","https://ivpokemon.fr/ressources/images/types/8.png"
"1530535422-1818","https://ivpokemon.fr/liste-pokemon","Debugant","https://ivpokemon.fr/infos-pokemon?id=236","#236","Debugant","0.7 m","21 kg","35","35","35","35","35","35","https://ivpokemon.fr/ressources/images/types/2.png"
"1530534428-1179","https://ivpokemon.fr/liste-pokemon","Hélionceau","https://ivpokemon.fr/infos-pokemon?id=667","#667","Hélionceau","0.6 m","13.5 kg","62","50","58","73","54","72","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534629-1318","https://ivpokemon.fr/liste-pokemon","Symbios","https://ivpokemon.fr/infos-pokemon?id=579","#579","Symbios","1 m","20.1 kg","110","65","75","125","85","30","https://ivpokemon.fr/ressources/images/types/14.png"
"1530534838-1451","https://ivpokemon.fr/liste-pokemon","Créfollet","https://ivpokemon.fr/infos-pokemon?id=481","#481","Créfollet","0.3 m","0.3 kg","80","105","105","105","105","80","https://ivpokemon.fr/ressources/images/types/14.png"
"1530534706-1371","https://ivpokemon.fr/liste-pokemon","Venipatte","https://ivpokemon.fr/infos-pokemon?id=543","#543","Venipatte","0.4 m","5.3 kg","30","45","59","30","39","57","https://ivpokemon.fr/ressources/images/types/4.png"
"1530535180-1692","https://ivpokemon.fr/liste-pokemon","Wailmer","https://ivpokemon.fr/infos-pokemon?id=320","#320","Wailmer","2 m","130 kg","130","70","35","70","35","60","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534893-1491","https://ivpokemon.fr/liste-pokemon","Vortente","https://ivpokemon.fr/infos-pokemon?id=455","#455","Vortente","1.4 m","27 kg","74","100","72","90","72","46","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535612-1909","https://ivpokemon.fr/liste-pokemon","Togetic","https://ivpokemon.fr/infos-pokemon?id=176","#176","Togetic","0.6 m","3.2 kg","55","40","85","80","105","40","https://ivpokemon.fr/ressources/images/types/18.png"
"1530535761-2007","https://ivpokemon.fr/liste-pokemon","Kicklee","https://ivpokemon.fr/infos-pokemon?id=106","#106","Kicklee","1.5 m","49.8 kg","50","120","53","35","110","87","https://ivpokemon.fr/ressources/images/types/2.png"
"1530534556-1276","https://ivpokemon.fr/liste-pokemon","Funécire","https://ivpokemon.fr/infos-pokemon?id=607","#607","Funécire","0.3 m","3.1 kg","50","30","55","65","55","20","https://ivpokemon.fr/ressources/images/types/10.png"
"1530534223-1027","https://ivpokemon.fr/liste-pokemon","Candine","https://ivpokemon.fr/infos-pokemon?id=762","#762","Candine","0.7 m","8.2 kg","52","40","48","40","48","62","https://ivpokemon.fr/ressources/images/types/12.png"
"1530534313-1092","https://ivpokemon.fr/liste-pokemon","Volcanion","https://ivpokemon.fr/infos-pokemon?id=721","#721","Volcanion","1.7 m","195 kg","80","110","120","130","90","70","https://ivpokemon.fr/ressources/images/types/10.png"
"1530534439-1187","https://ivpokemon.fr/liste-pokemon","Braisillon","https://ivpokemon.fr/infos-pokemon?id=662","#662","Braisillon","0.7 m","16 kg","62","73","55","56","52","84","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534880-1481","https://ivpokemon.fr/liste-pokemon","Dimoret","https://ivpokemon.fr/infos-pokemon?id=461","#461","Dimoret","1.1 m","34 kg","70","120","65","45","85","125","https://ivpokemon.fr/ressources/images/types/17.png"
"1530534951-1534","https://ivpokemon.fr/liste-pokemon","Lockpin","https://ivpokemon.fr/infos-pokemon?id=428","#428","Lockpin","1.2 m","33.3 kg","65","76","84","54","96","105","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535644-1935","https://ivpokemon.fr/liste-pokemon","Fouinette","https://ivpokemon.fr/infos-pokemon?id=161","#161","Fouinette","0.8 m","6 kg","35","46","34","35","45","20","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535780-2018","https://ivpokemon.fr/liste-pokemon","Hypnomade","https://ivpokemon.fr/infos-pokemon?id=97","#97","Hypnomade","1.6 m","75.6 kg","85","73","70","73","115","67","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535017-1578","https://ivpokemon.fr/liste-pokemon","Étourvol","https://ivpokemon.fr/infos-pokemon?id=397","#397","Étourvol","0.6 m","15.5 kg","55","75","50","40","40","80","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534921-1512","https://ivpokemon.fr/liste-pokemon","Spiritomb","https://ivpokemon.fr/infos-pokemon?id=442","#442","Spiritomb","1 m","108 kg","50","92","108","92","108","35","https://ivpokemon.fr/ressources/images/types/8.png"
"1530534796-1424","https://ivpokemon.fr/liste-pokemon","Moustillon","https://ivpokemon.fr/infos-pokemon?id=501","#501","Moustillon","0.5 m","5.9 kg","55","55","45","63","45","45","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534479-1217","https://ivpokemon.fr/liste-pokemon","Reshiram","https://ivpokemon.fr/infos-pokemon?id=643","#643","Reshiram","3.2 m","330 kg","100","120","100","150","120","90","https://ivpokemon.fr/ressources/images/types/16.png"
"1530534976-1549","https://ivpokemon.fr/liste-pokemon","Apireine","https://ivpokemon.fr/infos-pokemon?id=416","#416","Apireine","1.2 m","38.5 kg","70","80","102","80","102","40","https://ivpokemon.fr/ressources/images/types/7.png"
"1530536145-2145","https://ivpokemon.fr/liste-pokemon","Papilusion","https://ivpokemon.fr/infos-pokemon?id=12","#12","Papilusion","1.1 m","32 kg","60","45","50","90","80","70","https://ivpokemon.fr/ressources/images/types/7.png"
"1530534829-1444","https://ivpokemon.fr/liste-pokemon","Heatran","https://ivpokemon.fr/infos-pokemon?id=485","#485","Heatran","1.7 m","430 kg","91","90","106","130","106","77","https://ivpokemon.fr/ressources/images/types/10.png"
"1530534307-1086","https://ivpokemon.fr/liste-pokemon","Archéduc","https://ivpokemon.fr/infos-pokemon?id=724","#724","Archéduc","1.6 m","36.6 kg","78","107","75","100","100","70","https://ivpokemon.fr/ressources/images/types/12.png"
"1530534955-1537","https://ivpokemon.fr/liste-pokemon","Grodrive","https://ivpokemon.fr/infos-pokemon?id=426","#426","Grodrive","1.2 m","15 kg","150","80","44","90","54","80","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535840-2066","https://ivpokemon.fr/liste-pokemon","Chétiflor","https://ivpokemon.fr/infos-pokemon?id=69","#69","Chétiflor","0.7 m","4 kg","50","75","35","70","30","40","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535804-2035","https://ivpokemon.fr/liste-pokemon","Otaria","https://ivpokemon.fr/infos-pokemon?id=86","#86","Otaria","1.1 m","90 kg","65","45","55","45","70","45","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534605-1311","https://ivpokemon.fr/liste-pokemon","Sorbouboul","https://ivpokemon.fr/infos-pokemon?id=584","#584","Sorbouboul","1.3 m","57.5 kg","71","95","85","110","95","79","https://ivpokemon.fr/ressources/images/types/15.png"
